,Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap
0,PLTR,Palantir Technologies Inc.,30.13,2:25PM EDT,+0.85,+2.90%,71.323M,67.475B
1,NKLA,Nikola Corporation,8.51,2:24PM EDT,+0.70,+9.04%,6.961M,384.582M
2,ELF,"e.l.f. Beauty, Inc.",159.29,2:25PM EDT,-28.66,-15.25%,5.469M,8.982B
3,HUGE,FSD Pharma Inc.,0.2458,2:25PM EDT,+0.1542,+168.34%,1.041B,11.809M
4,U,Unity Software Inc.,15.60,2:24PM EDT,+1.24,+8.64%,28.28M,6.191B
5,TTD,"The Trade Desk, Inc.",97.75,2:25PM EDT,+9.48,+10.73%,8.385M,48.049B
6,CAVA,"CAVA Group, Inc.",90.25,2:24PM EDT,+6.27,+7.47%,3.023M,10.291B
7,AQN.TO,Algonquin Power & Utilities Corp.,7.57,2:24PM EDT,-0.92,-10.89%,8.322M,5.217B
8,SG,"Sweetgreen, Inc.",34.08,2:25PM EDT,+7.83,+29.84%,11.555M,3.862B
9,DOCS,"Doximity, Inc.",34.93,2:24PM EDT,+9.27,+36.13%,8.036M,6.484B
10,FIVN,"Five9, Inc.",31.23,2:24PM EDT,-11.25,-26.48%,10.979M,2.307B
11,IOVA,"Iovance Biotherapeutics, Inc.",9.55,2:24PM EDT,+1.61,+20.21%,18.683M,2.671B
12,NFE,New Fortress Energy Inc.,13.71,2:25PM EDT,-3.31,-19.47%,14.916M,2.811B
13,ADMA,"ADMA Biologics, Inc.",16.06,2:24PM EDT,+3.87,+31.71%,10.198M,3.722B
14,CSCO,"Cisco Systems, Inc.",45.69,2:25PM EDT,-0.14,-0.29%,11.469M,184.096B
15,TSM,Taiwan Semiconductor Manufacturing Company Limited,166.61,2:25PM EDT,+2.06,+1.25%,15.345M,864.053B
16,AQN,Algonquin Power & Utilities Corp.,5.51,2:24PM EDT,-0.68,-10.97%,24.414M,3.8B
17,PUBM,"PubMatic, Inc.",13.46,2:24PM EDT,-6.14,-31.33%,3.089M,672.071M
18,NICE,NICE Ltd.,157.16,2:24PM EDT,-13.84,-8.09%,1.016M,9.973B
19,CGX.TO,Cineplex Inc.,9.69,2:24PM EDT,+0.72,+8.03%,"960,800",617.101M
20,MRIN,Marin Software Incorporated,2.4200,2:24PM EDT,+0.6100,+33.70%,42.594M,7.572M
21,HYZN,Hyzon Motors Inc.,0.1009,2:24PM EDT,+0.0151,+17.60%,97.63M,27.233M
22,EXPE,"Expedia Group, Inc.",129.51,2:25PM EDT,+11.54,+9.78%,3.672M,16.94B
23,WW,"WW International, Inc.",1.0200,2:24PM EDT,+0.2898,+39.69%,17.04M,81.327M
24,UPST,"Upstart Holdings, Inc.",36.61,2:25PM EDT,+2.40,+7.02%,14.021M,3.277B
25,ARRY,"Array Technologies, Inc.",7.01,2:24PM EDT,-1.97,-21.97%,19.93M,1.065B
26,RKLB,"Rocket Lab USA, Inc.",5.45,2:24PM EDT,+0.68,+14.15%,14.329M,2.683B
27,EPD,Enterprise Products Partners L.P.,28.57,2:24PM EDT,-0.76,-2.61%,7.59M,62.031B
28,WBTN,WEBTOON Entertainment Inc.,12.92,2:24PM EDT,-7.71,-37.34%,1.629M,1.639B
29,MMAT,Meta Materials Inc.,1.1300,2:24PM EDT,-0.9500,-45.24%,2.538M,7.566M
